"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что сервис вызывается один раз при инициализации ViewModel","14","GIVEN service WHEN call service THEN check if is called once at viewmodel initialization","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN service WHEN call service THEN check if is called once at viewmodel initialization"
"Проверяет фильтрацию покемонов по типу (Electric)","3","GIVEN pokemon list WHEN filter by type THEN return correct filtered results","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemon list WHEN filter by type THEN return correct filtered results"
"Проверяет фильтрацию с несуществующим типом покемона","2","GIVEN pokemon list WHEN filter by non-existing type THEN return empty list","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemon list WHEN filter by non-existing type THEN return empty list"
"Проверяет фильтрацию с пустым поисковым запросом","2","GIVEN pokemon list WHEN filter with empty query THEN return all pokemons","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemon list WHEN filter with empty query THEN return all pokemons"
"Проверяет сортировку покемонов с некорректными ID","2822","GIVEN pokemons with invalid ids WHEN sort THEN handle invalid ids gracefully","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemons with invalid ids WHEN sort THEN handle invalid ids gracefully"
"Проверяет сортировку покемонов по ID","5","GIVEN unsorted pokemon list WHEN get list THEN return sorted by id","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN unsorted pokemon list WHEN get list THEN return sorted by id"
"Проверяет обработку пустого списка покемонов","3","GIVEN empty pokemon list WHEN get list THEN return empty list","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN empty pokemon list WHEN get list THEN return empty list"
"Проверяет корректность получения списка покемонов из DAO","3","GIVEN mocked dao results WHEN get list of pokemons from view model THEN result as expected","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN mocked dao results WHEN get list of pokemons from view model THEN result as expected"
"Проверяет обработку покемонов с пустым списком типов","2","GIVEN pokemon with empty types WHEN filter by type THEN exclude from results","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemon with empty types WHEN filter by type THEN exclude from results"
"Проверяет обработку покемонов с null именем","2","GIVEN pokemon with null name WHEN get list THEN handle null name gracefully","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN pokemon with null name WHEN get list THEN handle null name gracefully"
"Проверяет реакцию на изменения данных в LiveData","7","GIVEN dao data changes WHEN observing live data THEN receive updates","","2025-10-15","passed","2025-10-15","","dev.marcosfarias.pokedex.PokedexViewModelTest","dev.marcosfarias.pokedex.PokedexViewModelTest","GIVEN dao data changes WHEN observing live data THEN receive updates"
